episode_number,episode_id,user_id,vote_key,series_name,season_number
9,110895,5449324,110895-5449324-29,Space Goofs,1
24,208658,5449324,208658-5449324-29,Pokémon,7
24,208658,5449324,208658-5449324-3,Pokémon,7
25,208659,5449324,208659-5449324-29,Pokémon,7
26,208660,5449324,208660-5449324-29,Pokémon,7
27,208661,5449324,208661-5449324-28,Pokémon,7
28,208662,5449324,208662-5449324-29,Pokémon,7
28,208662,5449324,208662-5449324-28,Pokémon,7
29,208663,5449324,208663-5449324-28,Pokémon,7
30,208664,5449324,208664-5449324-28,Pokémon,7
31,208665,5449324,208665-5449324-29,Pokémon,7
31,208665,5449324,208665-5449324-28,Pokémon,7
32,208666,5449324,208666-5449324-28,Pokémon,7
32,208666,5449324,208666-5449324-29,Pokémon,7
33,208667,5449324,208667-5449324-27,Pokémon,7
33,208667,5449324,208667-5449324-28,Pokémon,7
34,208668,5449324,208668-5449324-28,Pokémon,7
39,208673,5449324,208673-5449324-3,Pokémon,7
40,208674,5449324,208674-5449324-28,Pokémon,7
40,208674,5449324,208674-5449324-29,Pokémon,7
41,208675,5449324,208675-5449324-29,Pokémon,7
1,218584,5449324,218584-5449324-29,"Sabrina, The Teenage Witch",1
1,218584,5449324,218584-5449324-3,"Sabrina, The Teenage Witch",1
2,218585,5449324,218585-5449324-29,"Sabrina, The Teenage Witch",1
21,307008,5449324,307008-5449324-3,Malcolm in the Middle,7
22,307233,5449324,307233-5449324-3,Malcolm in the Middle,7
3,324818,5449324,324818-5449324-20,"Go, Diego, Go!",1
27,384141,5449324,384141-5449324-3,Code Lyoko,4
28,384142,5449324,384142-5449324-3,Code Lyoko,4
30,384144,5449324,384144-5449324-3,Code Lyoko,4
1,402440,5449324,402440-5449324-29,Glee,1
1,2599511,5449324,2599511-5449324-29,Skins,5
10,3204531,5449324,3204531-5449324-28,Glee,2
8,3360391,5449324,3360391-5449324-4,Game of Thrones,1
2,3412791,5449324,3412791-5449324-28,Skins,5
3,3412801,5449324,3412801-5449324-29,Skins,5
4,3412811,5449324,3412811-5449324-29,Skins,5
5,3412821,5449324,3412821-5449324-28,Skins,5
6,3412831,5449324,3412831-5449324-27,Skins,5
7,3412841,5449324,3412841-5449324-29,Skins,5
8,3412851,5449324,3412851-5449324-3,Skins,5
15,3722141,5449324,3722141-5449324-3,Glee,2
18,3901811,5449324,3901811-5449324-29,Glee,2
18,3901811,5449324,3901811-5449324-28,Glee,2
19,3924021,5449324,3924021-5449324-3,Glee,2
8,3991431,5449324,3991431-5449324-3,Pokémon,14
9,4063481,5449324,4063481-5449324-5,Game of Thrones,1
9,4063481,5449324,4063481-5449324-3,Game of Thrones,1
20,4081820,5449324,4081820-5449324-29,Glee,2
20,4081820,5449324,4081820-5449324-3,Glee,2
21,4081821,5449324,4081821-5449324-3,Glee,2
22,4081822,5449324,4081822-5449324-28,Glee,2
4,4174039,5449324,4174039-5449324-29,Glee,3
3,4245772,5449324,4245772-5449324-4,Game of Thrones,2
3,4294185,5449324,4294185-5449324-27,Skins,7
4,4373908,5449324,4373908-5449324-3,Glee,4
6,4392178,5449324,4392178-5449324-3,Glee,4
7,4412949,5449324,4412949-5449324-29,Glee,4
8,4427153,5449324,4427153-5449324-29,Glee,4
9,4427154,5449324,4427154-5449324-28,Glee,4
9,4427154,5449324,4427154-5449324-29,Glee,4
5,4448266,5449324,4448266-5449324-1,Skins,7
1,4448267,5449324,4448267-5449324-27,Skins,7
4,4448291,5449324,4448291-5449324-28,Skins,7
2,4448293,5449324,4448293-5449324-1,Skins,7
1,4460750,5449324,4460750-5449324-27,Code Lyoko: Evolution,1
1,4466132,5449324,4466132-5449324-28,EastSiders,1
2,4466133,5449324,4466133-5449324-28,EastSiders,1
2,4471864,5449324,4471864-5449324-27,Code Lyoko: Evolution,1
3,4471866,5449324,4471866-5449324-1,Code Lyoko: Evolution,1
4,4471879,5449324,4471879-5449324-28,Code Lyoko: Evolution,1
5,4475153,5449324,4475153-5449324-28,Code Lyoko: Evolution,1
6,4480725,5449324,4480725-5449324-27,Code Lyoko: Evolution,1
7,4488245,5449324,4488245-5449324-1,Code Lyoko: Evolution,1
20,4513307,5449324,4513307-5449324-29,Glee,4
21,4513308,5449324,4513308-5449324-29,Glee,4
22,4513309,5449324,4513309-5449324-29,Glee,4
22,4513309,5449324,4513309-5449324-28,Glee,4
1,4516067,5449324,4516067-5449324-3,Attack on Titan,1
61,4531854,5449324,4531854-5449324-3,The Simpsons,0
1,4570259,5449324,4570259-5449324-3,Reign (2013),1
1,4570259,5449324,4570259-5449324-5,Reign (2013),1
2,4675283,5449324,4675283-5449324-5,Reign (2013),1
3,4682669,5449324,4682669-5449324-4,Reign (2013),1
13,4725162,5449324,4725162-5449324-3,Glee,5
13,4725162,5449324,4725162-5449324-29,Glee,5
12,5011460,5449324,5011460-5449324-3,Glee,6
13,5011466,5449324,5011466-5449324-3,Glee,6
1,5298530,5449324,5298530-5449324-29,The Magicians (2015),1
1,5302887,5449324,5302887-5449324-3,Lucifer,1
2,5302888,5449324,5302888-5449324-3,Lucifer,1
1,5350841,5449324,5350841-5449324-3,Call My Agent!,1
2,5350842,5449324,5350842-5449324-29,Call My Agent!,1
3,5350843,5449324,5350843-5449324-28,Call My Agent!,1
3,5350843,5449324,5350843-5449324-29,Call My Agent!,1
4,5350844,5449324,5350844-5449324-3,Call My Agent!,1
5,5350845,5449324,5350845-5449324-29,Call My Agent!,1
5,5350845,5449324,5350845-5449324-3,Call My Agent!,1
6,5350846,5449324,5350846-5449324-29,Call My Agent!,1
1,5474001,5449324,5474001-5449324-3,The Crown,1
1,5632528,5449324,5632528-5449324-3,Beautiful Loser,1
1,5632528,5449324,5632528-5449324-5,Beautiful Loser,1
2,5632529,5449324,5632529-5449324-3,Beautiful Loser,1
2,5632529,5449324,5632529-5449324-5,Beautiful Loser,1
3,5632530,5449324,5632530-5449324-3,Beautiful Loser,1
16,5823580,5449324,5823580-5449324-19,The Fosters (2013),4
15,5823589,5449324,5823589-5449324-19,The Fosters (2013),4
17,5985411,5449324,5985411-5449324-19,The Fosters (2013),4
1,6023946,5449324,6023946-5449324-28,Call My Agent!,2
1,6146118,5449324,6146118-5449324-1,The OA,2
4,6179924,5449324,6179924-5449324-2,Room 104,1
13,6311300,5449324,6311300-5449324-18,Carpool Karaoke: The Series,1
13,6311300,5449324,6311300-5449324-19,Carpool Karaoke: The Series,1
14,6322926,5449324,6322926-5449324-27,Carpool Karaoke: The Series,1
15,6334640,5449324,6334640-5449324-1,Carpool Karaoke: The Series,1
16,6334703,5449324,6334703-5449324-1,Carpool Karaoke: The Series,1
17,6346627,5449324,6346627-5449324-3,Carpool Karaoke: The Series,1
18,6359331,5449324,6359331-5449324-27,Carpool Karaoke: The Series,1
1,6380183,5449324,6380183-5449324-3,Calls,1
2,6380192,5449324,6380192-5449324-29,Calls,1
3,6380193,5449324,6380193-5449324-3,Calls,1
4,6380195,5449324,6380195-5449324-27,Calls,1
1,6387032,5449324,6387032-5449324-3,Paris etc.,1
2,6387033,5449324,6387033-5449324-29,Paris etc.,1
19,6389110,5449324,6389110-5449324-1,Carpool Karaoke: The Series,1
1,6459112,5449324,6459112-5449324-3,Sweetbitter,1
2,6461783,5449324,6461783-5449324-19,You,1
4,6461785,5449324,6461785-5449324-20,You,1
5,6461786,5449324,6461786-5449324-20,You,1
5,6461786,5449324,6461786-5449324-19,You,1
6,6461787,5449324,6461787-5449324-20,You,1
7,6461788,5449324,6461788-5449324-20,You,1
8,6461789,5449324,6461789-5449324-20,You,1
8,6461789,5449324,6461789-5449324-18,You,1
10,6480493,5449324,6480493-5449324-20,A Series of Unfortunate Events,2
1,6499485,5449324,6499485-5449324-19,I Love You 2,1
1,6553121,5449324,6553121-5449324-3,Safe (2018),1
1,6564318,5449324,6564318-5449324-1,Lost in Space (2018),1
2,6605060,5449324,6605060-5449324-20,My Brilliant Friend,1
3,6605062,5449324,6605062-5449324-19,My Brilliant Friend,1
3,6605062,5449324,6605062-5449324-20,My Brilliant Friend,1
4,6605063,5449324,6605063-5449324-17,My Brilliant Friend,1
5,6605069,5449324,6605069-5449324-18,My Brilliant Friend,1
6,6605070,5449324,6605070-5449324-18,My Brilliant Friend,1
7,6605071,5449324,6605071-5449324-18,My Brilliant Friend,1
10,6609867,5449324,6609867-5449324-20,You,1
2,6614457,5449324,6614457-5449324-29,Sweetbitter,1
3,6614458,5449324,6614458-5449324-28,Sweetbitter,1
4,6614459,5449324,6614459-5449324-3,Sweetbitter,1
4,6614459,5449324,6614459-5449324-29,Sweetbitter,1
5,6614460,5449324,6614460-5449324-1,Sweetbitter,1
5,6614460,5449324,6614460-5449324-27,Sweetbitter,1
5,6614460,5449324,6614460-5449324-29,Sweetbitter,1
6,6614461,5449324,6614461-5449324-28,Sweetbitter,1
6,6614461,5449324,6614461-5449324-27,Sweetbitter,1
1,6623548,5449324,6623548-5449324-29,The Haunting,1
1,6631615,5449324,6631615-5449324-20,A Series of Unfortunate Events,3
2,6653596,5449324,6653596-5449324-19,A Series of Unfortunate Events,3
2,6653596,5449324,6653596-5449324-20,A Series of Unfortunate Events,3
3,6653597,5449324,6653597-5449324-20,A Series of Unfortunate Events,3
4,6653598,5449324,6653598-5449324-20,A Series of Unfortunate Events,3
5,6653599,5449324,6653599-5449324-19,A Series of Unfortunate Events,3
6,6653600,5449324,6653600-5449324-19,A Series of Unfortunate Events,3
1,6655509,5449324,6655509-5449324-3,November 13: Attack on Paris,1
2,6655510,5449324,6655510-5449324-3,November 13: Attack on Paris,1
3,6655511,5449324,6655511-5449324-3,November 13: Attack on Paris,1
3,6671794,5449324,6671794-5449324-20,Elite,1
4,6671800,5449324,6671800-5449324-18,Elite,1
5,6671801,5449324,6671801-5449324-20,Elite,1
6,6671802,5449324,6671802-5449324-19,Elite,1
6,6671802,5449324,6671802-5449324-20,Elite,1
7,6671803,5449324,6671803-5449324-19,Elite,1
7,6671803,5449324,6671803-5449324-20,Elite,1
77,6700307,5449324,6700307-5449324-20,Pokémon,18
1,6709396,5449324,6709396-5449324-27,Super Drags,1
7,6709616,5449324,6709616-5449324-20,Unbreakable Kimmy Schmidt,4
7,6709616,5449324,6709616-5449324-19,Unbreakable Kimmy Schmidt,4
1,6720176,5449324,6720176-5449324-3,First Love: The Monster Between Us,1
20,6722780,5449324,6722780-5449324-1,Carpool Karaoke: The Series,1
1,6733508,5449324,6733508-5449324-19,Bodyguard (2018),1
2,6734157,5449324,6734157-5449324-3,First Love: The Monster Between Us,1
6,6734161,5449324,6734161-5449324-3,First Love: The Monster Between Us,1
7,6734162,5449324,6734162-5449324-3,First Love: The Monster Between Us,1
8,6734163,5449324,6734163-5449324-3,First Love: The Monster Between Us,1
9,6734164,5449324,6734164-5449324-3,First Love: The Monster Between Us,1
10,6734165,5449324,6734165-5449324-29,First Love: The Monster Between Us,1
1,6742171,5449324,6742171-5449324-20,Hilda,1
8,6742812,5449324,6742812-5449324-20,The Good Place,3
9,6742813,5449324,6742813-5449324-20,The Good Place,3
1,6766418,5449324,6766418-5449324-3,Bonding,1
82,6768324,5449324,6768324-5449324-28,Pokémon,18
82,6768324,5449324,6768324-5449324-27,Pokémon,18
1,6778981,5449324,6778981-5449324-3,Good Girls,2
2,6778982,5449324,6778982-5449324-3,Good Girls,2
3,6778983,5449324,6778983-5449324-29,Good Girls,2
4,6778984,5449324,6778984-5449324-29,Good Girls,2
8,6778988,5449324,6778988-5449324-29,Good Girls,2
8,6778988,5449324,6778988-5449324-3,Good Girls,2
9,6778989,5449324,6778989-5449324-28,Good Girls,2
9,6778989,5449324,6778989-5449324-29,Good Girls,2
16,6784605,5449324,6784605-5449324-29,Explained,1
18,6784609,5449324,6784609-5449324-1,Explained,1
18,6784609,5449324,6784609-5449324-27,Explained,1
19,6784610,5449324,6784610-5449324-29,Explained,1
20,6784611,5449324,6784611-5449324-3,Explained,1
1,6785489,5449324,6785489-5449324-5,Dirty John,1
5,6785508,5449324,6785508-5449324-5,Dirty John,1
1,6786330,5449324,6786330-5449324-1,Siren (2018),2
10,6786372,5449324,6786372-5449324-20,The Good Place,3
10,6786372,5449324,6786372-5449324-19,The Good Place,3
11,6786373,5449324,6786373-5449324-20,The Good Place,3
2,6786640,5449324,6786640-5449324-4,The Purge,1
3,6786642,5449324,6786642-5449324-2,The Purge,1
3,6786642,5449324,6786642-5449324-4,The Purge,1
4,6786643,5449324,6786643-5449324-4,The Purge,1
4,6786643,5449324,6786643-5449324-2,The Purge,1
5,6791006,5449324,6791006-5449324-16,Riverdale,3
5,6791006,5449324,6791006-5449324-20,Riverdale,3
1,6792763,5449324,6792763-5449324-19,Good Trouble,1
1,6792763,5449324,6792763-5449324-20,Good Trouble,1
1,6795576,5449324,6795576-5449324-29,Naked Attraction,3
1,6800812,5449324,6800812-5449324-20,Harry Potter ,1
1,6800827,5449324,6800827-5449324-19,Harry Potter ,2
1,6800827,5449324,6800827-5449324-17,Harry Potter ,2
1,6800837,5449324,6800837-5449324-18,Harry Potter ,3
1,6800837,5449324,6800837-5449324-19,Harry Potter ,3
1,6800853,5449324,6800853-5449324-20,Harry Potter ,4
1,6800853,5449324,6800853-5449324-19,Harry Potter ,4
1,6800855,5449324,6800855-5449324-20,Harry Potter ,5
1,6800855,5449324,6800855-5449324-19,Harry Potter ,5
1,6806407,5449324,6806407-5449324-20,Perfume (2018),1
1,6806407,5449324,6806407-5449324-19,Perfume (2018),1
1,6809788,5449324,6809788-5449324-19,Baby,1
1,6809788,5449324,6809788-5449324-20,Baby,1
2,6809789,5449324,6809789-5449324-19,Baby,1
2,6809789,5449324,6809789-5449324-20,Baby,1
6,6809886,5449324,6809886-5449324-16,Riverdale,3
3,6814869,5449324,6814869-5449324-19,Into the Dark,1
3,6814869,5449324,6814869-5449324-20,Into the Dark,1
4,6814871,5449324,6814871-5449324-17,Into the Dark,1
5,6814875,5449324,6814875-5449324-20,Into the Dark,1
6,6814877,5449324,6814877-5449324-4,Into the Dark,1
6,6814877,5449324,6814877-5449324-5,Into the Dark,1
1,6821139,5449324,6821139-5449324-20,You,1
7,6827550,5449324,6827550-5449324-28,Into the Dark,1
7,6827550,5449324,6827550-5449324-29,Into the Dark,1
7,6827550,5449324,6827550-5449324-27,Into the Dark,1
2,6830710,5449324,6830710-5449324-3,Hilda,1
3,6830711,5449324,6830711-5449324-3,Hilda,1
91,6830770,5449324,6830770-5449324-28,Pokémon,18
91,6830770,5449324,6830770-5449324-29,Pokémon,18
91,6830770,5449324,6830770-5449324-27,Pokémon,18
1,6835458,5449324,6835458-5449324-19,Mike,1
2,6835459,5449324,6835459-5449324-19,Mike,1
3,6835461,5449324,6835461-5449324-19,Mike,1
4,6835462,5449324,6835462-5449324-19,Mike,1
9,6835468,5449324,6835468-5449324-3,Mike,1
9,6835468,5449324,6835468-5449324-5,Mike,1
10,6835469,5449324,6835469-5449324-3,Mike,1
11,6835470,5449324,6835470-5449324-3,Mike,1
12,6835471,5449324,6835471-5449324-3,Mike,1
12,6835471,5449324,6835471-5449324-5,Mike,1
12,6839898,5449324,6839898-5449324-19,The Good Place,3
12,6839898,5449324,6839898-5449324-20,The Good Place,3
5,6843488,5449324,6843488-5449324-20,Baby,1
6,6843490,5449324,6843490-5449324-20,Baby,1
3,6847131,5449324,6847131-5449324-1,High Seas,1
1,6847140,5449324,6847140-5449324-3,Room 104,2
1,6847140,5449324,6847140-5449324-5,Room 104,2
2,6847142,5449324,6847142-5449324-5,Room 104,2
2,6847142,5449324,6847142-5449324-4,Room 104,2
7,6848021,5449324,6848021-5449324-18,Riverdale,3
7,6848021,5449324,6848021-5449324-19,Riverdale,3
8,6848022,5449324,6848022-5449324-20,Riverdale,3
8,6848022,5449324,6848022-5449324-19,Riverdale,3
9,6848023,5449324,6848023-5449324-19,Riverdale,3
9,6848023,5449324,6848023-5449324-20,Riverdale,3
9,6848023,5449324,6848023-5449324-18,Riverdale,3
3,6848555,5449324,6848555-5449324-1,Room 104,2
4,6848556,5449324,6848556-5449324-3,Room 104,2
4,6848556,5449324,6848556-5449324-1,Room 104,2
1,6848603,5449324,6848603-5449324-29,Jane the Virgin,5
9,6850876,5449324,6850876-5449324-19,American Horror Story,8
1,6852888,5449324,6852888-5449324-5,The Umbrella Academy,1
1,6852888,5449324,6852888-5449324-3,The Umbrella Academy,1
1,6856368,5449324,6856368-5449324-19,Mom or Dad,1
1,6858749,5449324,6858749-5449324-3,Carpool Karaoke: The Series,2
1,6860880,5449324,6860880-5449324-20,Neo Yokio,0
1,6860880,5449324,6860880-5449324-19,Neo Yokio,0
2,6866447,5449324,6866447-5449324-3,Carpool Karaoke: The Series,2
6,6868117,5449324,6868117-5449324-4,Room 104,2
6,6868398,5449324,6868398-5449324-20,The Simpsons,30
8,6868442,5449324,6868442-5449324-20,9-1-1,2
6,6869127,5449324,6869127-5449324-19,The Good Doctor,2
2,6869854,5449324,6869854-5449324-1,Super Drags,1
8,6870350,5449324,6870350-5449324-1,Room 104,2
9,6870353,5449324,6870353-5449324-4,Room 104,2
10,6870356,5449324,6870356-5449324-4,Room 104,2
11,6870359,5449324,6870359-5449324-2,Room 104,2
12,6870361,5449324,6870361-5449324-5,Room 104,2
12,6870361,5449324,6870361-5449324-4,Room 104,2
1,6871253,5449324,6871253-5449324-29,The A List,1
1,6871253,5449324,6871253-5449324-28,The A List,1
1,6872603,5449324,6872603-5449324-27,Paquita Salas,3
1,6873986,5449324,6873986-5449324-20,Interns,1
2,6873988,5449324,6873988-5449324-20,Interns,1
3,6873994,5449324,6873994-5449324-20,Interns,1
4,6873996,5449324,6873996-5449324-20,Interns,1
4,6873996,5449324,6873996-5449324-19,Interns,1
5,6874004,5449324,6874004-5449324-20,Interns,1
6,6874005,5449324,6874005-5449324-20,Interns,1
7,6874008,5449324,6874008-5449324-20,Interns,1
