user_id,tv_show_id,similar_show_id,created_at,updated_at,reason,tv_show_name
5449324,71663,282254,2016-10-22 20:57:47,2016-10-22 20:57:47,,The Simpsons
5449324,72173,95011,2018-07-13 15:57:56,2018-07-13 15:57:56,,Arrested Development
5449324,72173,277165,2018-07-13 15:57:55,2018-07-13 15:57:55,,Arrested Development
5449324,100991,73347,2017-04-21 19:34:39,2017-04-21 19:34:39,,Titeuf
5449324,100991,74280,2017-04-21 19:34:56,2017-04-21 19:34:56,,Titeuf
5449324,100991,82956,2017-04-21 19:34:29,2017-04-21 19:34:29,,Titeuf
5449324,146711,277169,2018-01-02 03:34:59,2018-01-02 03:34:59,,Pretty Little Liars
5449324,146711,293302,2018-01-02 03:34:50,2018-01-02 03:34:50,,Pretty Little Liars
5449324,146711,294417,2018-01-02 03:34:58,2018-01-02 03:34:58,,Pretty Little Liars
5449324,146711,303786,2018-01-02 03:35:01,2018-01-02 03:35:01,,Pretty Little Liars
5449324,146711,305719,2018-01-02 03:34:49,2018-01-02 03:34:49,,Pretty Little Liars
5449324,146711,311954,2018-01-02 03:35:04,2018-01-02 03:35:04,,Pretty Little Liars
5449324,146711,323168,2018-01-02 03:35:00,2018-01-02 03:35:00,,Pretty Little Liars
5449324,196331,125431,2016-02-25 01:11:36,2016-02-25 01:11:36,,"Josephine, Guardian Angel"
5449324,196331,243011,2016-02-25 01:11:34,2016-02-25 01:11:34,,"Josephine, Guardian Angel"
5449324,243011,80977,2016-09-05 17:24:00,2016-09-05 17:24:00,,Clem
5449324,243011,196331,2016-02-25 01:11:20,2016-02-25 01:11:20,,Clem
5449324,243011,265110,2016-09-05 17:24:09,2016-09-05 17:24:09,,Clem
5449324,243011,273527,2016-09-05 17:24:00,2016-09-05 17:24:00,,Clem
5449324,243011,281621,2016-09-05 17:23:58,2016-09-05 17:23:58,,Clem
5449324,243011,309835,2016-09-05 17:23:57,2016-09-05 17:23:57,,Clem
5449324,257599,73248,2018-07-19 04:29:57,2018-07-19 04:29:57,,Shuriken School
5449324,262414,305194,2017-04-25 23:10:31,2017-04-25 23:10:31,,Bates Motel
5449324,268156,282670,2016-02-25 01:27:23,2016-02-25 01:27:23,,Sense8
5449324,275274,282254,2017-06-04 22:11:37,2017-06-04 22:11:37,,Rick and Morty
5449324,277455,350191,2018-07-17 21:11:12,2018-07-17 21:11:12,,The Wakos
5449324,281622,73739,2018-06-15 21:33:47,2018-06-15 21:33:47,,The Last Man on Earth
5449324,281622,295677,2018-06-15 21:33:40,2018-06-15 21:33:40,,The Last Man on Earth
5449324,281622,310555,2018-06-15 21:33:39,2018-06-15 21:33:39,,The Last Man on Earth
5449324,282670,74845,2018-07-26 06:57:46,2018-07-26 06:57:46,,Narcos
5449324,282670,81189,2017-06-05 09:06:03,2017-06-05 09:06:03,,Narcos
5449324,282670,259730,2018-07-26 06:57:40,2018-07-26 06:57:40,,Narcos
5449324,282670,326027,2018-07-26 06:57:41,2018-07-26 06:57:41,,Narcos
5449324,293194,146711,2016-02-25 01:14:38,2016-02-25 01:14:38,,Between
5449324,295677,281622,2018-04-24 19:59:51,2018-04-24 19:59:51,,"You, Me and the Apocalypse"
5449324,311713,311958,2017-04-30 00:26:05,2017-04-30 00:26:05,,Timeless (2016)
5449324,311954,146711,2018-03-08 20:14:27,2018-03-08 20:14:27,,Riverdale
5449324,311954,294417,2018-03-08 20:14:20,2018-03-08 20:14:20,,Riverdale
5449324,311954,303786,2018-03-08 20:14:16,2018-03-08 20:14:16,,Riverdale
5449324,311954,323168,2018-03-08 20:14:21,2018-03-08 20:14:21,,Riverdale
5449324,311958,311713,2016-10-09 23:15:35,2016-10-09 23:15:35,,Frequency
5449324,315991,274237,2018-03-03 18:26:47,2018-03-03 18:26:47,,
5449324,315991,315250,2018-03-03 18:26:53,2018-03-03 18:26:53,,
5449324,315991,322332,2018-03-03 18:26:34,2018-03-03 18:26:34,,
5449324,321060,253463,2017-04-29 18:37:55,2017-04-29 18:37:55,,The OA
5449324,321060,260315,2017-04-29 18:37:58,2017-04-29 18:37:58,,The OA
5449324,321060,268156,2017-04-29 18:37:58,2017-04-29 18:37:58,,The OA
5449324,321060,305288,2017-04-29 18:37:55,2017-04-29 18:37:55,,The OA
5449324,324835,264586,2018-07-20 03:26:01,2018-07-20 03:26:01,,GLOW
5449324,338301,311220,2018-06-24 20:09:41,2018-06-24 20:09:41,,gaelle garcia diaz
5449324,338301,322358,2018-06-24 20:10:02,2018-06-24 20:10:02,,gaelle garcia diaz
5449324,341902,303786,2018-03-16 19:20:28,2018-03-16 19:20:28,,Skam France
5449324,344566,303786,2018-06-01 19:55:46,2018-06-01 19:55:46,,Skam Germany
5449324,344566,341902,2018-06-01 19:55:46,2018-06-01 19:55:46,,Skam Germany
5449324,344566,344216,2018-06-01 19:55:45,2018-06-01 19:55:45,,Skam Germany
5449324,344643,330895,2018-07-17 21:29:07,2018-07-17 21:29:07,,Bonding
5449324,344643,336522,2018-07-17 21:28:57,2018-07-17 21:28:57,,Bonding
5449324,350191,277455,2018-07-19 00:16:38,2018-07-19 00:16:38,,Peepoodo
5449324,353232,282670,2018-07-26 06:57:06,2018-07-26 06:57:06,,Narcos: Mexico
