created_at,updated_at,tv_show_name,user_id,tv_show_id,source
2017-06-05 09:36:22,2017-06-05 09:36:22,The Simpsons,5449324,71663,search
2021-05-22 00:28:34,2021-05-22 00:28:34,Malcolm in the Middle,5449324,73838,see-episode
2022-06-08 15:22:47,2022-06-08 15:22:47,Code Lyoko,5449324,74280,see-episode
2021-01-30 21:13:47,2021-01-30 21:13:47,Dexter,5449324,79349,see-episode
2020-02-26 16:38:32,2020-02-26 16:38:32,Skins,5449324,79773,see-season
2017-04-30 00:27:53,2017-04-30 00:27:53,Le cœur a ses raisons,5449324,80741,/user/4293621/profile/show-detai
2017-04-30 00:31:09,2017-04-30 00:31:09,"Don't Do This, Don't Do That",5449324,80977,search
2017-04-30 00:20:28,2017-04-30 00:20:28,Misfits,5449324,124051,search
2017-12-28 20:09:34,2017-12-28 20:09:34,Pretty Little Liars,5449324,146711,(null)/show-detail
2017-04-30 00:29:55,2017-04-30 00:29:55,Genie in the House,5449324,160661,search
2018-07-29 19:42:52,2018-07-29 19:42:52,Ratz,5449324,225071,see-season
2017-04-30 00:33:34,2017-04-30 00:33:34,Don't Trust the B---- in Apartment 23,5449324,248812,(null)/show-detail
2017-04-30 00:29:15,2017-04-30 00:29:15,My Babysitter's a Vampire,5449324,248972,(null)/show-detail
2023-06-30 11:28:20,2023-06-30 11:28:20,Secret Story,5449324,249896,see-episode
2017-09-28 17:17:32,2017-09-28 17:17:32,American Horror Story,5449324,250487,search
2017-04-30 15:53:13,2017-04-30 15:53:13,American Gods,5449324,253573,(null)/show-detail
2017-10-01 14:56:32,2017-10-01 14:56:32,Rita,5449324,256006,(null)/show-detail
2017-06-28 01:09:16,2017-06-28 01:09:16,Orphan Black,5449324,260315,/user/5449324/profile/show-detai
2017-04-30 00:20:25,2017-04-30 00:20:25,Bates Motel,5449324,262414,search
2017-04-30 00:32:53,2017-04-30 00:32:53,My Mad Fat Diary,5449324,265110,search
2021-03-07 20:23:25,2021-03-07 20:23:25,Attack on Titan,5449324,267440,see-episode
2017-04-30 00:32:26,2017-04-30 00:32:26,Hostages (US),5449324,269642,(null)/show-detail
2017-04-30 00:27:25,2017-04-30 00:27:25,Salem,5449324,274897,/user/4293621/profile/show-detai
2020-07-04 18:11:30,2020-07-04 18:11:30,Rick and Morty,5449324,275274,see-episode
